dialogue,utterance,all_events
Tracy do not go home that evening and resist Alex 's attack .,Tracy>>do>>not>>go>>home>>that>>evening>>and>>resist>>Alex>>'s>>attack>>.,Alex resists every ||Alex resists  by force||Alex does n't want to go||Alex does n't go well||Alex does n't even care||Alex resists  by minorities||Alex resists Jesse attack||Alex does n't go away
Alex walk past a homeless woman ask for change but do not have any money they could give to her . Alex feel bad afterwards .,Alex>>walk>>past>>a>>homeless>>woman>>ask>>for>>change>>but>>do>>not>>have>>any>>money>>they>>could>>give>>to>>her>>.>>Alex>>feel>>bad>>afterwards>>.,Alex makes any money||Alex wins any money||Alex feels bad afterwards||Alex becomes homeless||Alex asks  if Jesse could have one||Alex walks past Jesse||Alex spends any money||Alex feels much better afterwards||Alex feels bad||Alex feels bad but||Alex has any money though||Alex has any extra money||Alex is a homeless man||Alex asks the woman||Alex feels bad for it||Alex walks past
Sasha protect the patient ' right by make new law regard cancer drug trial .,Sasha>>protect>>the>>patient>>'>>right>>by>>make>>new>>law>>regard>>cancer>>drug>>trial>>.,Alex brings the  to trial||Alex makes Jesse's laws||Alex protects the patient 's ||Alex uses drugs||Alex makes Alex's laws||Alex provides  in regard||Alex protects Alex's rights||Alex protects Jesse's rights||Alex does drugs||Alex stands trial
Alex be in charge of take the food on the camping trip and leave all the food at home .,Alex>>be>>in>>charge>>of>>take>>the>>food>>on>>the>>camping>>trip>>and>>leave>>all>>the>>food>>at>>home>>.,Alex takes  on a trip||Alex leaves at home||Alex is going on a camping trip||Alex takes a trip||Alex is on a camping trip||Alex takes charge of Jesse||Alex leaves the food||Alex leaves food out||Alex is taking a trip||Alex leaves  at home||Alex leaves food out||Alex leaves food||Alex takes the food||Alex leaves the food||Alex leaves food
Alex open their mouth to speak and what come out shocked everyone .,Alex>>open>>their>>mouth>>to>>speak>>and>>what>>come>>out>>shocked>>everyone>>.,Alex opens Jesse's mouth to speak||Alex opens Alex's mouths||Alex opens Jesse mouth||Alex looks shocked||Alex opens Jesse's mouth||Alex gets shocked||Alex gets a shock||Alex would not come out||Alex opens Alex's  to speak||Alex comes out in the wash||Alex comes out of Jesse's mouth
Alex never tell Jesse the answer and Jesse be angry .,Alex>>never>>tell>>Jesse>>the>>answer>>and>>Jesse>>be>>angry>>.,Alex never told ||Alex never told||Alex tells  never||Alex never told Jesse
Alex 's dog be overweight so they walk it five mile .,Alex>>'s>>dog>>be>>overweight>>so>>they>>walk>>it>>five>>mile>>.,Alex walks a mile in Jesse's shoes||Alex is walking Jesse's dog||Alex walks a mile in Jesse's shoes||Alex walks dogs||Alex is walking Alex's dog||Alex runs a mile||Alex walks the dog
Kendall get a new sport car and could not wait to show friend .,Kendall>>get>>a>>new>>sport>>car>>and>>could>>not>>wait>>to>>show>>friend>>.,Alex waits in the car||Alex is in the market for a new car||Alex gets Jesse's new car||Alex gets Alex's new car||Alex waits  to get||Alex gets a new car||Alex is looking for a new car
Alex down their arm with a blanket to keep warm .,Alex>>down>>their>>arm>>with>>a>>blanket>>to>>keep>>warm>>.,Alex keeps warm||Alex knits a blanket||Alex keeps Jesse warm||Alex feels warm||Alex stays warm
Alex know Quinn intimately and they sleep together many time .,Alex>>know>>Quinn>>intimately>>and>>they>>sleep>>together>>many>>time>>.,Alex falls many times||Alex tries many times||Alex spends time together||Alex knows  intimately||Alex knows the  intimately||Alex knows Jesse intimately
Alex kiss Alex gently on the cheek and ask to go to dinner .,Alex>>kiss>>Alex>>gently>>on>>the>>cheek>>and>>ask>>to>>go>>to>>dinner>>.,Alex kisses Jesse on both cheeks||Alex kisses Jesse gently||Alex kisses Jesse cheek||Alex kisses Jesse on the cheek||Alex goes  to dinner||Alex kisses  on the cheek
Alex walk Alex towards the execution chamber for her last meal .,Alex>>walk>>Alex>>towards>>the>>execution>>chamber>>for>>her>>last>>meal>>.,Alex walks towards Jesse||Alex walks toward Jesse||Alex walks toward Jesse||Alex walks towards Jesse||Alex walks toward the house||Alex walks toward the house||Alex walks toward the door||Alex walks towards it||Alex walks toward the door
Alex be excited to wake up to attend school .,Alex>>be>>excited>>to>>wake>>up>>to>>attend>>school>>.,Alex wakes  up early||Alex attends Jesse school||Alex attends school||Alex wakes up  morning||Alex tries to wake Jesse up
Alex prove Jesse 's point about who be the strong wrestler of them all .,Alex>>prove>>Jesse>>'s>>point>>about>>who>>be>>the>>strong>>wrestler>>of>>them>>all>>.,Alex gets stronger and stronger||Alex proves Jesse point||Alex gets stronger||Alex proves Jesse's point||Alex becomes stronger||Alex lets them have it||Alex is much stronger
Sydney go trick or treat and the other join him happily .,Sydney>>go>>trick>>or>>treat>>and>>the>>other>>join>>him>>happily>>.,Alex tricks or treat||Alex goes trick or treating||Alex tricks or treating
Sasha set their trash on fire to get rid of it quickly .,Sasha>>set>>their>>trash>>on>>fire>>to>>get>>rid>>of>>it>>quickly>>.,Alex sets  on fire||Alex sets Jesse on fire||Alex gets  quickly||Alex gets rid of Jesse||Alex gets rid altogether||Alex gets rid||Alex sets it on fire||Alex sets fire to Jesse||Alex sets the  on fire||Alex quickly got 
Alex dry up the paper and light it on fire and it blow away .,Alex>>dry>>up>>the>>paper>>and>>light>>it>>on>>fire>>and>>it>>blow>>away>>.,Alex lights a fire under ||Alex blows  away||Alex blows Jesse away||Alex lights a fire||Alex is blown away||Alex dries up and blow away||Alex lights  on fire||Alex dries up and blow away||Alex blows the  away||Alex dries up and blow away
Skylar go camping with friend and find the good campsite .,Skylar>>go>>camping>>with>>friend>>and>>find>>the>>good>>campsite>>.,Alex goes camping with Jesse's friends||Alex finds a good deal||Alex goes camping with friends||Alex camps with friends||Alex finds a good spot||Alex is going camping||Alex finds a good one||Alex finds a good job||Alex goes camping with Alex's friends||Alex finds a good place
"due to his car break down , Alex decide to ride with Jesse 's friend to school .","due>>to>>his>>car>>break>>down>>,>>Alex>>decide>>to>>ride>>with>>Jesse>>'s>>friend>>to>>school>>.",Alex gives the devil his due||Alex rides  to school||Alex decides to take a break||Alex rides Alex's bike to school ||Alex rides Jesse's bike to school||Alex plays  with his friends||Alex finally broke down||Alex rides Alex's bike to school||Alex decides to not be friends with Jesse||Alex is due tomorrow||Alex is due today
Alex take Jesse 's compliment seriously after the ballgame end .,Alex>>take>>Jesse>>'s>>compliment>>seriously>>after>>the>>ballgame>>end>>.,Alex takes seriously the ||Alex takes the  seriously||Alex takes this  seriously||Alex takes it seriously||Alex takes  seriously
Jordan teach art in elementary school and be really great with his student .,Jordan>>teach>>art>>in>>elementary>>school>>and>>be>>really>>great>>with>>his>>student>>.,Alex teaches  in schools||Alex is in art class||Alex has a really great time||Alex is an elementary school teacher||Alex teaches  to students||Alex teaches Jesse the art||Alex teaches students the ||Alex teaches  in the schools
Alex and the other be the good of friend and always support each other .,Alex>>and>>the>>other>>be>>the>>good>>of>>friend>>and>>always>>support>>each>>other>>.,Alex is best friends||Alex is best friends for years||Alex is a good friend||Alex inflicts  on others||Alex enjoys each other 's company||Alex leaves the  to others||Alex is always good||Alex owns  with others||Alex enjoys each other 's company||Alex becomes best friends||Alex is the best of friends||Alex makes  for others
Alex give help to a friend who be have trouble keep up with their bill .,Alex>>give>>help>>to>>a>>friend>>who>>be>>have>>trouble>>keep>>up>>with>>their>>bill>>.,Alex has trouble paying Alex's bills||Alex keeps up appearances||Alex helps  in trouble||Alex keeps it up||Alex has trouble breathing||Alex keeps  up at night||Alex has trouble in school||Alex is having trouble sleeping||Alex gives  trouble||Alex keeps up with the joneses||Alex has trouble sleeping
Alex have twist their leg and begin to hurt so bad that they could not walk .,Alex>>have>>twist>>their>>leg>>and>>begin>>to>>hurt>>so>>bad>>that>>they>>could>>not>>walk>>.,Alex hurts really bad||Alex hurts so bad||Alex begins to hurt||Alex feels so bad for Jesse||Alex twists  badly||Alex is so excited Jesse could n't sleep||Alex hurts Jesse so much||Alex hurts so bad||Alex smells so bad||Alex feels so bad||Alex twists in the wind
Alex be at a friend 's house but suddenly announce they need to go home .,Alex>>be>>at>>a>>friend>>'s>>house>>but>>suddenly>>announce>>they>>need>>to>>go>>home>>.,Alex needs to go home||Alex needs a home||Alex goes to a friend 's house||Alex goes to my friend 's house||Alex goes to a friend 's house||Alex is at Jesse's friend 's house||Alex is at Alex's friend 's house||Alex goes to Alex's friend 's house||Alex needs to go||Alex goes to Jesse's friend 's house||Alex stays at a friend 's house||Alex is at a friend 's house||Alex needs to get home||Alex needs a ride home
Alex teach math in the school after study to be a teacher for four year .,Alex>>teach>>math>>in>>the>>school>>after>>study>>to>>be>>a>>teacher>>for>>four>>year>>.,Alex is four years old||Alex teaches  for years||Alex studies  for years||Alex is an elementary school teacher||Alex is a school teacher
Tracy lead their army and fight hard in the war until they sit upon the throne .,Tracy>>lead>>their>>army>>and>>fight>>hard>>in>>the>>war>>until>>they>>sit>>upon>>the>>throne>>.,Alex places  on the throne||Alex places the  on the throne||Alex leads Jesse army||Alex makes war upon Jesse||Alex fights hard||Alex sits upon the throne
Kendall watch baseball with his friend after work hard all week at his job .,Kendall>>watch>>baseball>>with>>his>>friend>>after>>work>>hard>>all>>week>>at>>his>>job>>.,Alex says hi||Alex says hi to Jesse||Alex works hard all summer||Alex watches  all week||Alex plays  with his friends||Alex works hard all ||Alex works hard all day||Alex works hard all week||Alex works hard all year
Alex be bore and have nothing to do so he play card game .,Alex>>be>>bore>>and>>have>>nothing>>to>>do>>so>>he>>play>>card>>game>>.,Alex plays cards||Alex says there was nothing Jesse could do||Alex plays a card game||Alex plays the race card||Alex has so much fun playing||Alex has nothing else to do||Alex wants nothing to do with Jesse||Alex plays card games||Alex plays the gender card
"Alex change Jesse into clean clothe , so they can both go to the big play .","Alex>>change>>Jesse>>into>>clean>>clothe>>,>>so>>they>>can>>both>>go>>to>>the>>big>>play>>.",Alex can go wrong||Alex changes Jesse's clothes||Alex is so excited to go||Alex can go home||Alex changes clothes||Alex plays both sides against the middle||Alex has no clean clothes||Alex plays so well||Alex changes Jesse clothes||Alex goes shopping for clothes
Kendall wrap string around my neck to measure the collar of a shirt .,Kendall>>wrap>>string>>around>>my>>neck>>to>>measure>>the>>collar>>of>>a>>shirt>>.,Alex wraps  around my neck||Alex wraps  around Jesse's neck||Alex wraps around Jesse's neck||Alex wraps  around my waist||Alex wraps my arms around Jesse's neck
Alex give it to Jesse 's friend . Jesse have think for sure and hope that she would get it instead .,Alex>>give>>it>>to>>Jesse>>'s>>friend>>.>>Jesse>>have>>think>>for>>sure>>and>>hope>>that>>she>>would>>get>>it>>instead>>.,Alex hopes would find||Alex gets  instead||Alex hopes would go||Alex gets a dog instead||Alex thinks would get||Alex hopes would get||Alex hopes would come
jan take them to NYC so that they could experience the city for the first time .,jan>>take>>them>>to>>NYC>>so>>that>>they>>could>>experience>>the>>city>>for>>the>>first>>time>>.,Alex takes  to the city||Alex meets  for the first time||Alex takes  to nyc||Alex tries  for the first time||Alex visits  for the first time||Alex sees  for the first time||Alex votes for the first time
Tracy throw a fit on the couch while watch the history channel because they get a lot of detail wrong .,Tracy>>throw>>a>>fit>>on>>the>>couch>>while>>watch>>the>>history>>channel>>because>>they>>get>>a>>lot>>of>>detail>>wrong>>.,Alex changes the channel||Alex gets fit||Alex gets out while the gettings good||Alex gets the wrong one||Alex throws a fit||Alex throws  on the history||Alex gets Jesse wrong||Alex gets into the wrong hands
Alex hate Jesse and his family so he take the risk to injure Jesse .,Alex>>hate>>Jesse>>and>>his>>family>>so>>he>>take>>the>>risk>>to>>injure>>Jesse>>.,Alex always hated ||Alex really hated ||Alex hates every ||Alex really hated||Alex hates Jesse so much||Alex takes Jesse risk||Alex takes a risk||Alex takes the family
Alex stay outside and try to finish the game of volleyball she be play .,Alex>>stay>>outside>>and>>try>>to>>finish>>the>>game>>of>>volleyball>>she>>be>>play>>.,Alex finishes the game||Alex plays volleyball||Alex plays beach volleyball||Alex plays a game||Alex is playing a game||Alex is outside playing||Alex is playing outside
Carson return to Alex 's house after previously storm out during a huge fight .,Carson>>return>>to>>Alex>>'s>>house>>after>>previously>>storm>>out>>during>>a>>huge>>fight>>.,Alex returns to Alex's house||Alex watches the storm||Alex prepares for the storm||Alex has a huge fight||Alex storms out of the blocks||Alex fights Jesse after school||Alex storms off||Alex returns to Jesse's house
Robin do not know why she be have bad luck but find the answer .,Robin>>do>>not>>know>>why>>she>>be>>have>>bad>>luck>>but>>find>>the>>answer>>.,Alex does n't know what to do at first||Alex is having a bad day||Alex has a bad cough||Alex does n't find anything||Alex has much luck||Alex finds Jesse answer||Alex does n't know anyone||Alex knows yet why Jesse died||Alex does n't know how to cook||Alex does n't know either||Alex has a bad cold||Alex finds the answer||Alex has bad luck
Alex 's son be grow out of their shoe . Alex take their son to the shoe store .,Alex>>'s>>son>>be>>grow>>out>>of>>their>>shoe>>.>>Alex>>take>>their>>son>>to>>the>>shoe>>store>>.,Alex takes Alex's son out||Alex takes Jesse's son out||Alex takes my son||Alex takes it to the store||Alex takes  to the shoe store||Alex grows Alex's hair out||Alex grows Alex's hair out||Alex takes  to the store
ash be cut short even though everyone want to hear what ash have to say .,ash>>be>>cut>>short>>even>>though>>everyone>>want>>to>>hear>>what>>ash>>have>>to>>say>>.,Alex knows what to say||Alex cuts  short||Alex rises from the ashes||Alex is cut short||Alex cuts a long story short||Alex hears would say||Alex rises from the ashes||Alex pays  to what was saying||Alex has a say||Alex pays  to what said||Alex wants to hear||Alex knows what else to say
Alex be talk to a group of friend . Alex talk behind Ash 's back to fit in .,Alex>>be>>talk>>to>>a>>group>>of>>friend>>.>>Alex>>talk>>behind>>Ash>>'s>>back>>to>>fit>>in>>.,Alex talks to a friend||Alex rises from the ashes||Alex talks about Jesse behind Bob's back||Alex talks behind Jesse's back
Alex want to be nice to a girl so he take her to the shoe store .,Alex>>want>>to>>be>>nice>>to>>a>>girl>>so>>he>>take>>her>>to>>the>>shoe>>store>>.,Alex wants  so badly||Alex meets a nice girl||Alex takes the girl||Alex takes  to the shoe store||Alex takes it to the store||Alex wants new shoes||Alex takes  to the store
Alex understand Remy well and meet his need more efficiently as his nurse .,Alex>>understand>>Remy>>well>>and>>meet>>his>>need>>more>>efficiently>>as>>his>>nurse>>.,Alex says hi||Alex says hi to Jesse||Alex gives Jesse his head||Alex stops Jesse in his tracks||Alex plays  with his friends
Alex keep the baby up at night to watch for a concussion .,Alex>>keep>>the>>baby>>up>>at>>night>>to>>watch>>for>>a>>concussion>>.,Alex keeps Jesse up at night||Alex keeps the baby||Alex keeps  up all night||Alex keeps Jesse up all night||Alex keeps  up at night
Alex eye to the fact that he do not want her to see the sex scene from the movie .,Alex>>eye>>to>>the>>fact>>that>>he>>do>>not>>want>>her>>to>>see>>the>>sex>>scene>>from>>the>>movie>>.,Alex leaves the scene||Alex does n't want to see Jesse again||Alex does n't want to leave||Alex does n't want to go||Alex does n't want to fight||Alex shuts Jesse's  to the fact||Alex wants to go to the movies||Alex sees the movie||Alex makes a scene||Alex sees a movie||Alex wants to watch a movie||Alex flees the scene||Alex wants to see a movie
Quinn wrap their arm around Jordan before pull out the gift that they have be hide .,Quinn>>wrap>>their>>arm>>around>>Jordan>>before>>pull>>out>>the>>gift>>that>>they>>have>>be>>hide>>.,Alex wraps my arms around Jesse||Alex wraps Jesse's arms around||Alex wraps Jesse's arms around Jesse||Alex wraps Jesse's arm around Jesse||Alex pulls out of the hat||Alex pulls  out of the oven||Alex pulls a rabbit out of a hat||Alex wraps gifts||Alex has Jesse's hide||Alex pulls  out of the water||Alex has never been on a train before||Alex has never been on one before
Bailey pass Alex on his drive examination after he pass with fly color .,Bailey>>pass>>Alex>>on>>his>>drive>>examination>>after>>he>>pass>>with>>fly>>color>>.,Alex passes  with flying colors||Alex passes with flying colors||Alex passes  around||Alex passes  with flying colors||Alex passes Jesse examination||Alex passes with flying colors||Alex passes Alex's driving test
Alex be take a test and find it difficult at first .,Alex>>be>>take>>a>>test>>and>>find>>it>>difficult>>at>>first>>.,Alex takes a math test||Alex takes the test||Alex is taking a test||Alex takes the test ||Alex takes a test||Alex is difficult at first||Alex finds it very difficult
"Quinn be play and frolike in the snow , make snow angel and snowball .","Quinn>>be>>play>>and>>frolike>>in>>the>>snow>>,>>make>>snow>>angel>>and>>snowball>>.",Alex is covered in snow||Alex has a snowball fight||Alex sees snow||Alex makes a snowball||Alex loves the snow||Alex begins to snow||Alex is playing in the snow
Tracy give money to my friend who need it but fail to by it back as they promise .,Tracy>>give>>money>>to>>my>>friend>>who>>need>>it>>but>>fail>>to>>by>>it>>back>>as>>they>>promise>>.,Alex needs money||Alex gets my money||Alex needs a friend||Alex gives  to my friend||Alex gets my money back||Alex needs the money
Camerson be grade Jesse 's research paper . Alex feel satisfied with Jesse 's work .,Camerson>>be>>grade>>Jesse>>'s>>research>>paper>>.>>Alex>>feel>>satisfied>>with>>Jesse>>'s>>work>>.,Alex feels satisfied||Alex conducts research||Alex feels satisfied with Alex's work||Alex writes a research paper||Alex researches  online||Alex researches  on the internet||Alex feels satisfied with Jesse's work
"Skylar be push by the bully in the lunch line , so Skylar pour milk over their head .","Skylar>>be>>push>>by>>the>>bully>>in>>the>>lunch>>line>>,>>so>>Skylar>>pour>>milk>>over>>their>>head>>.",Alex bullies in school||Alex pours  over Jesse's head||Alex gets bullied||Alex pours  over Alex's head||Alex bullies at school||Alex pours milk||Alex pushes Jesse over the edge||Alex pushes Jesse's head||Alex is bullied at school||Alex is bullied in school
"Remy give you Skylar account for netflix , so you would not have to pay for your own account .","Remy>>give>>you>>Skylar>>account>>for>>netflix>>,>>so>>you>>would>>not>>have>>to>>pay>>for>>your>>own>>account>>.",Alex gives you Jesse answer||Alex has to pay a fine||Alex gives you Jesse account||Alex gives Jesse account||Alex names your poison||Alex would pay for it||Alex would n't eat it||Alex would n't even||Alex gives you Jesse account||Alex would n't budge||Alex gives Jesse a account||Alex would n't eat||Alex gives you another 
Skylar be on the phone while at the national park . they lend little attention to the view .,Skylar>>be>>on>>the>>phone>>while>>at>>the>>national>>park>>.>>they>>lend>>little>>attention>>to>>the>>view>>.,Alex lends a hand||Alex lends  at interest||Alex regulates  with nations||Alex lends  to the view
"Sydney work as a preschool teacher , and help trace Alex 's finger .","Sydney>>work>>as>>a>>preschool>>teacher>>,>>and>>help>>trace>>Alex>>'s>>finger>>.",Alex traces Jesse's fingers||Alex works Alex's fingers to the bone
Jan be pregnant and she give birth to a beautiful baby daughter .,Jan>>be>>pregnant>>and>>she>>give>>birth>>to>>a>>beautiful>>baby>>daughter>>.,Alex gives birth||Alex gives Jesse birth||Alex gives birth to Jesse||Alex gives birth to a baby girl||Alex gives birth to a daughter
Kendall be really into house plant and often pour water in to jar so the fluoride would evaporate out .,Kendall>>be>>really>>into>>house>>plant>>and>>often>>pour>>water>>in>>to>>jar>>so>>the>>fluoride>>would>>evaporate>>out>>.,Alex would find out||Alex pours the water||Alex pours cold water on ||Alex would not come out||Alex pours  on the waters||Alex pours water||Alex waters the plants
"know skylar would want to go too , Alex take Skylar into account .","know>>skylar>>would>>want>>to>>go>>too>>,>>Alex>>take>>Skylar>>into>>account>>.",Alex is going too fast||Alex wants one too||Alex takes these  into account||Alex takes into account the ||Alex takes the  into account||Alex would know||Alex would go||Alex knows Jesse too well||Alex knows Jesse would||Alex takes  into account||Alex takes into account ||Alex thinks would want||Alex wants  to know||Alex goes too far
Alex be a police officer . she pull Jesse over for speed in a construction zone .,Alex>>be>>a>>police>>officer>>.>>she>>pull>>Jesse>>over>>for>>speed>>in>>a>>construction>>zone>>.,Alex pulls Jesse over for speeding||Alex is pulled over by a cop||Alex constructs another ||Alex is a police officer||Alex drives over the speed limit||Alex is pulled over for speeding||Alex becomes a police officer||Alex pulls  over for speeding||Alex is pulled over by a police officer
Alex the high title of the kingdom and celebrate with a feast .,Alex>>the>>high>>title>>of>>the>>kingdom>>and>>celebrate>>with>>a>>feast>>.,Alex grants Jesse title||Alex wins the title||Alex blows to kingdom come||Alex gives Jesse the title||Alex eats  in the kingdom
"after be kick out of the house by his parent , Alex need a place to live .","after>>be>>kick>>out>>of>>the>>house>>by>>his>>parent>>,>>Alex>>need>>a>>place>>to>>live>>.",Alex needs a place||Alex gets a kick out of ||Alex kicks Jesse out of the house||Alex gets kicked out||Alex locks  out of the house||Alex kicks  out of the house||Alex needs a place to live
